x,lx,dx,qx,px
0,100000,500,0.00500,0.99500
1,99500,400,0.00402,0.99598
2,99100,350,0.00353,0.99647
3,98750,320,0.00324,0.99676
4,98430,300,0.00305,0.99695
5,98130,290,0.00296,0.99704
6,97840,280,0.00286,0.99714
7,97560,270,0.00277,0.99723
8,97290,260,0.00267,0.99733
9,97030,255,0.00263,0.99737
10,96775,250,0.00258,0.99742
11,96525,245,0.00254,0.99746
12,96280,240,0.00249,0.99751
13,96040,235,0.00245,0.99755
14,95805,230,0.00240,0.99760
15,95575,225,0.00235,0.99765
16,95350,222,0.00233,0.99767
17,95128,218,0.00229,0.99771
18,94910,215,0.00227,0.99773
19,94695,212,0.00224,0.99776
20,94483,210,0.00222,0.99778
21,94273,208,0.00221,0.99779
22,94065,206,0.00219,0.99781
23,93859,204,0.00217,0.99783
24,93655,202,0.00216,0.99784
25,93453,200,0.00214,0.99786
26,93253,199,0.00213,0.99787
27,93054,198,0.00213,0.99787
28,92856,197,0.00212,0.99788
29,92659,196,0.00212,0.99788
30,92463,195,0.00211,0.99789
31,92268,194,0.00210,0.99790
32,92074,193,0.00210,0.99790
33,91881,192,0.00209,0.99791
34,91689,192,0.00209,0.99791
35,91497,191,0.00209,0.99791
36,91306,191,0.00209,0.99791
37,91115,191,0.00210,0.99790
38,90924,191,0.00210,0.99790
39,90733,192,0.00212,0.99788
40,90541,192,0.00212,0.99788
41,90349,193,0.00214,0.99786
42,90156,194,0.00215,0.99785
43,89962,195,0.00217,0.99783
44,89767,197,0.00219,0.99781
45,89570,199,0.00222,0.99778
46,89371,201,0.00225,0.99775
47,89170,203,0.00228,0.99772
48,88967,206,0.00232,0.99768
49,88761,209,0.00235,0.99765
50,88552,212,0.00239,0.99761
51,88340,216,0.00244,0.99756
52,88124,220,0.00250,0.99750
53,87904,224,0.00255,0.99745
54,87680,229,0.00261,0.99739
55,87451,234,0.00268,0.99732
56,87217,240,0.00275,0.99725
57,86977,246,0.00283,0.99717
58,86731,253,0.00292,0.99708
59,86478,260,0.00301,0.99699
60,86218,268,0.00311,0.99689
61,85950,277,0.00322,0.99678
62,85673,286,0.00334,0.99666
63,85387,296,0.00347,0.99653
64,85091,307,0.00361,0.99639
65,84784,319,0.00376,0.99624
66,84465,332,0.00393,0.99607
67,84133,346,0.00411,0.99589
68,83787,361,0.00431,0.99569
69,83426,377,0.00452,0.99548
70,83049,395,0.00476,0.99524
71,82654,414,0.00501,0.99499
72,82240,435,0.00529,0.99471
73,81805,458,0.00560,0.99440
74,81347,483,0.00594,0.99406
75,80864,510,0.00631,0.99369
76,80354,539,0.00671,0.99329
77,79815,570,0.00714,0.99286
78,79245,604,0.00762,0.99238
79,78641,640,0.00814,0.99186
80,78001,679,0.00871,0.99129
81,77322,720,0.00931,0.99069
82,76602,764,0.00997,0.99003
83,75838,811,0.01069,0.98931
84,75027,861,0.01148,0.98852
85,74166,914,0.01232,0.98768
86,73252,971,0.01325,0.98675
87,72281,1032,0.01428,0.98572
88,71249,1097,0.01540,0.98460
89,70152,1166,0.01662,0.98338
90,68986,1240,0.01798,0.98202
91,67746,1318,0.01946,0.98054
92,66428,1401,0.02109,0.97891
93,65027,1489,0.02290,0.97710
94,63538,1583,0.02492,0.97508
95,61955,1682,0.02715,0.97285
96,60273,1787,0.02965,0.97035
97,58486,1898,0.03245,0.96755
98,56588,2016,0.03563,0.96437
99,54572,2142,0.03925,0.96075
100,52430,2276,0.04341,0.95659